tag, link
female_blood_CMV_neg, https://datasets.cellxgene.cziscience.com/d3c02577-acef-4c68-9264-979c19de5b47.h5ad
male_blood_CMV_neg, https://datasets.cellxgene.cziscience.com/843e8e08-f860-418a-bc63-02cb6f5bdce6.h5ad
human_immune_health_atlas, https://datasets.cellxgene.cziscience.com/39832a61-3df1-4f1f-971d-3c2a74539047.h5ad
colon_rectal_cancer_tissue, https://datasets.cellxgene.cziscience.com/66cadf3b-4c71-4930-8add-fa748745704d.h5ad
ileum, https://datasets.cellxgene.cziscience.com/73904545-a97e-4b0b-9599-a8636359ef00.h5ad
colon, https://datasets.cellxgene.cziscience.com/9a696bfb-7cd5-4c27-89f5-f7979ae12111.h5ad
immune_aging_project, https://datasets.cellxgene.cziscience.com/7c98dadf-b249-4873-83be-51776674e9e1.h5ad
skin_fibroblast, https://datasets.cellxgene.cziscience.com/ba0fb2d9-28c9-4149-8591-694e0b7d9c31.h5ad
skin_epidermis, https://datasets.cellxgene.cziscience.com/022b2aab-8abb-4972-92e2-750b7cadafa7.h5ad
blood_hca, https://datasets.cellxgene.cziscience.com/d80b69a7-4b37-4c00-8d46-e0c311c6d850.h5ad
healthy_breast_tissue, https://datasets.cellxgene.cziscience.com/c41c8e10-b10a-428c-b6e7-a770ef988bab.h5ad
breast_cancer, https://datasets.cellxgene.cziscience.com/7cdea341-ca7a-40fd-8192-b8ecb2d7b91e.h5ad
gut_cancer, https://datasets.cellxgene.cziscience.com/a0a6b5b8-afb9-4911-a1c5-ce1c9b6aa057.h5ad
